Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
4,1,7,8,yes,no,shell programming,game development,poor,medium,Computer Architecture,testing,Testing and Maintainance Services,yes,Art,Technical,smart worker,yes,no,Applications Developer
3,4,8,6,yes,yes,hadoop,testing,poor,poor,IOT,developer,Cloud Services,yes,Dictionaries,Technical,smart worker,yes,no,Applications Developer
2,2,2,7,yes,yes,hadoop,system designing,excellent,medium,programming,testing,Product based,yes,Comics,Technical,smart worker,no,yes,Applications Developer
9,1,8,1,no,yes,shell programming,web technologies,medium,poor,Management,cloud computing,Web Services,yes,Anthology,Management,smart worker,yes,yes,Applications Developer
9,1,5,6,no,yes,information security,hacking,excellent,excellent,Management,security,Testing and Maintainance Services,yes,Series,Technical,hard worker,no,yes,Applications Developer
3,5,2,1,no,no,python,database security,medium,excellent,Computer Architecture,testing,Sales and Marketing,yes,Horror,Technical,hard worker,yes,yes,Applications Developer
7,4,8,5,yes,no,full stack,cloud computing,medium,poor,cloud computing,cloud computing,Finance,yes,Self help,Technical,hard worker,no,no,Applications Developer
1,3,8,5,no,no,hadoop,hacking,poor,medium,data engineering,developer,Sales and Marketing,yes,Fantasy,Management,smart worker,yes,yes,Applications Developer
7,2,8,5,no,yes,shell programming,system designing,poor,poor,programming,system developer,SAaS services,no,Travel,Technical,smart worker,no,no,Applications Developer
2,2,8,1,no,no,shell programming,web technologies,poor,poor,Management,Business process analyst,SAaS services,yes,Trilogy,Management,hard worker,yes,no,Applications Developer
1,1,2,6,no,no,distro making,game development,medium,poor,Management,system developer,SAaS services,yes,Cookbooks,Technical,smart worker,yes,no,Applications Developer
1,6,3,6,no,no,python,cloud computing,excellent,medium,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Science,Management,hard worker,yes,yes,Applications Developer
2,6,7,1,yes,yes,machine learning,system designing,medium,medium,hacking,testing,Finance,no,Dictionaries,Technical,hard worker,no,yes,Applications Developer
1,4,5,4,yes,no,distro making,web technologies,medium,poor,Computer Architecture,system developer,Product based,no,Health,Technical,hard worker,no,no,Applications Developer
1,6,4,2,yes,no,python,hacking,medium,excellent,cloud computing,Business process analyst,Product based,yes,Mystery,Management,smart worker,yes,yes,Applications Developer
6,4,9,7,yes,yes,hadoop,testing,excellent,medium,cloud computing,Business process analyst,Product based,no,Horror,Management,hard worker,no,yes,Applications Developer
8,1,9,7,yes,yes,information security,game development,medium,medium,networks,developer,Cloud Services,yes,Travel,Technical,smart worker,no,yes,Applications Developer
7,2,1,8,no,yes,machine learning,data science,poor,excellent,Software Engineering,security,Web Services,yes,Poetry,Management,hard worker,yes,yes,Applications Developer
3,4,5,5,yes,yes,r programming,system designing,excellent,poor,Software Engineering,security,Sales and Marketing,no,Diaries,Management,hard worker,no,no,Applications Developer
3,4,3,3,yes,no,information security,database security,poor,medium,programming,developer,Service Based,no,Science,Management,smart worker,yes,no,Applications Developer
3,4,2,3,yes,no,python,hacking,poor,poor,Management,system developer,Sales and Marketing,yes,Health,Technical,smart worker,yes,yes,Applications Developer
1,1,9,1,no,yes,distro making,testing,excellent,excellent,Computer Architecture,developer,Sales and Marketing,yes,Health,Management,smart worker,no,no,Applications Developer
7,1,9,4,no,no,r programming,data science,poor,excellent,cloud computing,security,Testing and Maintainance Services,yes,Science fiction,Technical,hard worker,yes,yes,Applications Developer
8,2,1,8,no,yes,hadoop,database security,medium,medium,Software Engineering,developer,SAaS services,no,History,Management,hard worker,yes,no,Applications Developer
7,4,9,3,yes,yes,python,hacking,poor,poor,parallel computing,cloud computing,Web Services,no,Trilogy,Technical,hard worker,no,yes,Applications Developer
5,2,1,7,no,no,full stack,database security,excellent,excellent,cloud computing,security,BPA,yes,Guide,Technical,hard worker,no,yes,Applications Developer
1,1,7,4,no,no,python,testing,poor,medium,hacking,developer,SAaS services,no,Math,Technical,hard worker,yes,no,Applications Developer
8,3,7,3,yes,no,shell programming,database security,medium,excellent,IOT,system developer,Cloud Services,no,Science fiction,Management,smart worker,yes,no,Applications Developer
1,6,6,7,no,no,full stack,data science,excellent,poor,Computer Architecture,system developer,BPA,yes,Poetry,Technical,smart worker,yes,yes,Applications Developer
7,5,3,2,yes,yes,machine learning,cloud computing,poor,poor,hacking,Business process analyst,Product based,yes,Guide,Technical,hard worker,no,no,Applications Developer
9,4,3,4,yes,no,shell programming,system designing,medium,excellent,Management,system developer,BPA,no,Science fiction,Management,hard worker,yes,yes,Applications Developer
4,5,3,1,yes,yes,machine learning,hacking,poor,medium,programming,testing,Sales and Marketing,no,Drama,Management,hard worker,no,no,Applications Developer
8,4,8,8,yes,no,python,data science,poor,poor,Software Engineering,Business process analyst,BPA,yes,Horror,Management,smart worker,yes,no,Applications Developer
5,3,6,4,no,no,hadoop,game development,medium,excellent,data engineering,testing,product development,yes,Horror,Management,hard worker,no,no,Applications Developer
9,4,8,8,no,yes,shell programming,database security,medium,excellent,Computer Architecture,Business process analyst,Product based,no,Guide,Management,hard worker,yes,yes,Applications Developer
7,4,1,9,yes,yes,information security,system designing,excellent,excellent,data engineering,security,Cloud Services,no,Prayer books,Technical,hard worker,yes,yes,Applications Developer
4,0,2,4,yes,no,python,web technologies,poor,poor,cloud computing,testing,Testing and Maintainance Services,no,Drama,Technical,smart worker,yes,no,Applications Developer
5,2,1,6,yes,no,shell programming,hacking,excellent,poor,networks,security,Finance,no,History,Management,hard worker,yes,no,Applications Developer
6,2,9,2,yes,yes,full stack,data science,medium,poor,networks,Business process analyst,BPA,yes,Dictionaries,Management,hard worker,no,yes,Applications Developer
2,6,5,1,yes,no,full stack,cloud computing,poor,excellent,parallel computing,cloud computing,SAaS services,yes,Health,Management,hard worker,yes,no,Applications Developer
6,2,4,2,no,yes,distro making,system designing,medium,excellent,data engineering,cloud computing,product development,yes,Prayer books,Management,hard worker,no,yes,Applications Developer
8,3,7,2,no,no,full stack,database security,medium,excellent,programming,cloud computing,Finance,no,Self help,Management,smart worker,no,no,Applications Developer
8,2,4,9,yes,no,r programming,testing,excellent,excellent,data engineering,system developer,Finance,no,Poetry,Management,smart worker,no,no,Applications Developer
9,1,3,2,yes,no,r programming,cloud computing,excellent,medium,hacking,Business process analyst,Web Services,no,Prayer books,Technical,hard worker,yes,no,Applications Developer
5,4,3,4,no,yes,machine learning,game development,poor,medium,Management,Business process analyst,product development,no,Health,Management,hard worker,yes,yes,Applications Developer
2,3,6,6,yes,no,distro making,data science,poor,medium,cloud computing,system developer,product development,yes,Prayer books,Management,smart worker,yes,no,Applications Developer
9,2,7,5,no,yes,shell programming,hacking,excellent,excellent,networks,system developer,Finance,no,Math,Management,smart worker,yes,yes,Applications Developer
4,5,5,3,yes,yes,full stack,testing,poor,poor,Software Engineering,developer,Sales and Marketing,yes,Biographies,Technical,smart worker,yes,yes,Applications Developer
6,4,7,9,yes,no,python,system designing,medium,poor,Computer Architecture,security,Web Services,no,Drama,Technical,smart worker,yes,yes,Applications Developer
7,1,8,8,yes,yes,app development,database security,excellent,excellent,Management,Business process analyst,product development,no,Prayer books,Technical,hard worker,yes,yes,Applications Developer
1,1,8,1,yes,yes,python,hacking,medium,poor,hacking,testing,Product based,no,History,Management,smart worker,no,no,Applications Developer
7,4,5,5,no,no,app development,game development,poor,poor,Software Engineering,security,Web Services,no,Drama,Management,smart worker,no,yes,Applications Developer
3,2,1,7,no,yes,machine learning,game development,poor,medium,Software Engineering,testing,Sales and Marketing,yes,Satire,Management,smart worker,yes,yes,Applications Developer
1,6,2,3,no,yes,python,hacking,excellent,excellent,networks,testing,Testing and Maintainance Services,no,Religion-Spirituality,Technical,hard worker,no,yes,Applications Developer
1,3,1,9,no,no,shell programming,hacking,poor,poor,IOT,Business process analyst,Product based,no,Self help,Technical,smart worker,no,no,Applications Developer
7,5,7,4,no,no,information security,testing,poor,excellent,IOT,developer,Web Services,yes,Religion-Spirituality,Technical,hard worker,no,no,Applications Developer
4,2,4,4,yes,yes,shell programming,web technologies,excellent,poor,networks,testing,SAaS services,no,Childrens,Technical,smart worker,no,no,Applications Developer
1,2,9,6,no,no,full stack,hacking,medium,medium,networks,system developer,Finance,yes,Guide,Technical,hard worker,no,yes,Applications Developer
7,0,8,8,yes,no,full stack,web technologies,excellent,poor,data engineering,security,Cloud Services,no,Romance,Management,smart worker,yes,yes,Applications Developer
4,0,1,5,yes,yes,python,testing,poor,poor,parallel computing,cloud computing,Product based,no,Prayer books,Management,hard worker,yes,no,Applications Developer
1,1,2,2,yes,yes,distro making,hacking,poor,poor,networks,testing,Testing and Maintainance Services,yes,Encyclopedias,Management,hard worker,yes,yes,Applications Developer
3,1,9,3,no,yes,information security,cloud computing,medium,poor,hacking,Business process analyst,Finance,yes,Dictionaries,Technical,hard worker,no,no,Applications Developer
6,0,3,2,yes,yes,distro making,database security,medium,excellent,hacking,security,Product based,no,Art,Technical,hard worker,no,yes,Applications Developer
5,0,9,7,yes,yes,python,hacking,excellent,poor,Computer Architecture,security,BPA,no,Childrens,Technical,hard worker,yes,yes,Applications Developer
7,1,7,8,yes,yes,app development,data science,medium,excellent,Software Engineering,system developer,Web Services,yes,Religion-Spirituality,Management,smart worker,no,yes,Applications Developer
2,2,2,5,no,yes,hadoop,testing,excellent,medium,parallel computing,system developer,Testing and Maintainance Services,yes,Prayer books,Technical,smart worker,yes,no,Applications Developer
4,2,9,3,yes,yes,app development,cloud computing,medium,poor,data engineering,testing,SAaS services,no,History,Technical,hard worker,no,no,Applications Developer
6,0,3,7,no,yes,distro making,data science,medium,medium,parallel computing,system developer,Sales and Marketing,yes,Fantasy,Management,smart worker,yes,yes,Applications Developer
8,3,2,7,yes,no,r programming,web technologies,medium,excellent,networks,system developer,Sales and Marketing,yes,Guide,Technical,smart worker,yes,no,Applications Developer
2,3,4,6,yes,no,python,data science,poor,medium,parallel computing,security,product development,no,Science,Management,smart worker,yes,no,Applications Developer
9,1,5,4,no,no,shell programming,web technologies,excellent,medium,Computer Architecture,cloud computing,SAaS services,yes,Autobiographies,Management,hard worker,no,yes,Applications Developer
1,0,3,3,no,no,r programming,testing,excellent,excellent,data engineering,system developer,Service Based,no,Journals,Technical,smart worker,yes,yes,Applications Developer
